text,emotion
Well this hurt tonight but it could have been worse. Plus the bears choked. LOL. Offset the hurt a bit.,joy
"My response would have been, If [NAME] sees me as unworthy, then I do believe that [NAME] would have more use for my tithings.",joy
Honestly rams are my second NFC team. I wanted you to win it all since the beginning of the playoffs and I love the team even more now,joy
I am eternally grateful that youtube did not exist while I was doing all my weird shit growing grow.,joy
Most traffic violations are victimless crimes and fining people for them is wrong.,anger
"I was once married and now I live alone. Some weekends, I don’t speak to anyone and don’t go out. Pure heaven. ",sadness
I wanna see [NAME] too at the ASG too!! He gotta show that [NAME] Magic with [NAME] as teammate,joy
Just another above average looking girl who works out for a year and gets a million followers for posting her ass. We live in a society,anger
This person shouldn't be allowed to drive ever again.,anger
Excellent. [NAME] ([NAME] in particular) made me discover my love for DXM and other even weirder dex sounds.,joy
"I mean, OP is consenting and asking for it, it's better to let them be",joy
One of the best in the series imo,joy
"No-no-no-noooo Besides, [NAME] is not a bachelor. He is so in love with himself already",joy
They were talking about what they should call the 'not Constantinople' release in the meeting- its a crime that nobody thought of this.,anger
Damn this is really uplifting.,joy
"this. faster, same pedaling but way less effort involved.",joy
I heard a fade in/out version of palpatine’s screech in my head just now. Lol,joy
Now I just want to see every scene with [NAME] in it with [NAME] following him around playing the theme.,joy
accept no substitutes,joy
Word. I have 0 of these in my life. I miss my INTJ ex brother-in-law haha.,joy
Sounds great! Thanks!,joy
That's the CPUSA symbol. No clue why it's here though.,surprise
"Wow, I'm glad he's okay.",surprise
He starts mildly enough with a pucker... then when she *backs away* he opens his mouth and goes further. Seriously - what kind of idiot is that guy?,anger
Sounds nicer than Missouri. Or missour-uh as the natives call it.,joy
"I hate that attitude, as if it's every woman's, purpose, dream, and personal duty to reproduce.",anger
No no this is true. A very redeeming quality. Them [NAME] like their water crisp and cold.,joy
"yeah violence shouldn't be your goto first option, but the people who pretend words are meaningless sounds are stupid idiots",anger
> No one likes being made to vote more often than they have to. My love of the sausage sizzle says otherwise!,joy
I know I don't know the Spanish alphabet but I can't believe I didn't catch that before,surprise
It's a photograph with one of our greatest ever defender and captain. What's your problem?,anger
Kabhi Khushi kabhi gam? Slightly different but raichands were rich and mother was doing pooja.,joy
I just actually listed it for trade haha. I can’t use paypal unfortunately as I’m under 18,joy
I liked the edgy sexual attraction. It was intense and I was drunk on it.,joy
I'm a danger to myself,sadness
Thanks for the explanation. This letter sounds kind of cool.,joy
It was a great AMA too,joy
[NAME] has been injured for a while... No point in doing that comparison. Not sure if a troll or just new to football,surprise
"""That """"Duff City"""" belt is an amazing touch""",joy
"Been scoring big on the Groudons.. caught 4 so far. Edit: no, no shinys yet. I've had the worst luck with shinys in this game",sadness
"I think it was Volantis, but yeah I agree.",joy
"I live in Mississippi, I don't know what the legality is in my circumstances",surprise
What a rollercoaster,joy
I've never seen a more adorable tumble,surprise
Can’t believe we’re letting [NAME] go. So much energy since he’s come on.,surprise
Not my text lol? Im sorry dude your a weirdo and the downvotes have demonstrated that lol,joy
I just hope you are all right dude,joy
I think that's how the game will end. With [NAME] talking to [NAME] again. Don't know if I'm prepared for that,surprise
>Not all 70% of the filthy [NAME] money is gonna be taken. ...unfortunately.,anger
Nokias can even connect to a fax machine? TIL,surprise
"Well, I’ll be here when you fail!",joy
"What a bullet, and what a sequence for [NAME]",joy
"Yep exactly, and he never demands the ball as well. He's afraid of it.",joy
>[NAME] Well he forgot to save me from the 'word of hella'.,sadness
"I swear to [NAME], these offseason dream/hypothetical lineups get me rock solid every single time. I love it",joy
"Yeah that’s what confuses me, like most people (men) who are here are just incels in denial",surprise
You're delusional,anger
Always felt like this match would go 5. Come on [NAME]!,joy
"No, it's not. If they grow in the wrong way then they can become extremely painful and cause discomfort. People usually like chewing freely",anger
Is this a joke..?,surprise
"No, you have the right too. Pretty crazy, but awesome thing we have. Freedom of expression.",joy
Please. Sorry.,sadness
"As someone who is not based in America and has the basic understanding of a toddler about molecular science in terms of football, why do you hate him?",surprise
It’s a pretty good guess for most college students in the south in my experience.,joy
You progressively lose more of your money!,joy
"We both will be having a read at these links, thank you! ",joy
"As a [NAME], this very relatable",joy
"I like vanilla, it's the finest of the flavors.",joy
Paula Weed is the best troll ever.,joy
I'm not a pats fan but the ones that [NAME] and [NAME] post on their IGs are actually pretty cool,joy
Okay. How so?,surprise
Lol ratheists suck fedoras!,joy
I just saw that they deleted their account. Good.,joy
mmmmm.... love me some kapusta with some bacon bits,joy
"It means that [NAME] campaign colluded, contrary to them saying otherwise. Sorry if you voted to advance Russian interests.",sadness
Thanks for your reply! Maybe I’ll try that game with him and see how he responds.,joy
That’s literally the stupidest thing ever If you think that what is stopping it to be applied to more than just bi-sexuality Seems a bit self destructive,anger
That's just damn creepy.,sadness
"Honestly why even make it about her, I was fascinated by his dedication! ",joy
I love our cheese curds both fresh and deep fried. So good. And now I'm hungry.,joy
what i dont understand is WHY the media hasn't yet picked up this story?? Especially with [NAME] in the zeitgeist.,surprise
The suspension bridges are awesome on sunny days,joy
"Could be worse, could be funky town",anger
"[NAME] is pretty dry but he's great for down to the facts videos, I love his voice.",joy
YOU STOLE MY GODDAMN COMMENT! <3,anger
Uhh? The only thing I see being over is -350B+ lost in trade each year,surprise
"Once you pop, you can’t stop Wait a minute...",surprise
I was AF enlisted too hahaha,joy
It's the wisdom of the fool.,anger
You seem jealous,surprise
Weird way to spell Voldo.,anger
Most of them seem to be joking about the walls.,joy
Ur a dumbass,anger
"If you still have fish or plants, I would love to take them. Unfortunately I don’t have space for another tank",joy
People working in hospitals are seriously under appreciated.,joy
Or they just don't understand why cats do that with kittens.,anger
I'm sure HMB Barbers at Nundah village will look after you,joy
I prefer to use a welding torch. I like the ozone and ultraviolet clean feeling and smells. Never have to wash the sheets either.,joy
Always go for someone you like and feel connected to.,joy
"Congratulations! I'm sure your shoulders are much lighter now. You look absolutely gorgeous, keep killing it :D",joy
You are a god among nurses.,joy
"""Each Dark Souls game has been voted """"Most Likely to Result in Controller Damage"""".""",anger
I think a budget PHD or DNP would cost me 35k so not happening.,anger
I hate this arm swing thing. Either try to sync up or just stop doing it.,anger
The greatest of all deals.,joy
I'm just reminding everyone. you're not helping the situation by being pedantic,anger
I have clinical depression so my mind pretty much has this outlook on any slight thing that doesn't go my way in life. Thanks for your comment.,joy
"""Some """"Mean Girls"""" style backstabbing will be a great B-plot for this new season! 🍿""",joy
They might trade for [NAME] or give France a chance. Still scratching my head at letting CV go.,surprise
The phone calls in the first 10 minutes are absolutely damning.,anger
You win one internet!,joy
"Ah, thought they made another FA character cannon for a minute. I'd like to see [NAME] come back (with a bit of a nerf:)",surprise
with these comments i thought this was r/vegan for a sec lmao,joy
"So, [NAME] was also paying to allow her to eat healthier. Let’s look at the bright side! ",joy
[NAME] investigation has already paid for itself thanks to Manafort. Try harder.,joy
This sounds interesting,surprise
Happy Birthday!,joy
That's amazing! I think that's great! I wish you the best in 2019! Please keep us updated!,joy
"I'm 100% sure you were punched in the face, but this was a good one",joy
The best for a reason.,joy
Yeah keep filming your kid kicking a dog in the face. I'm suprised this isn't on r/funny,surprise
...What is that?,surprise
> The defunct club still sit third in the overall NI league roll of honour despite not having competed for 70 years. Wow,surprise
"Really like Molotov, such a great song!",joy
This is hilarious,joy
I just have never found that area very attractive. Also from what I understand there is a lot of contaminated burial sites around there.,anger
I am just a guy who went to a normal school and I understood every single word,joy
I think the mushroom photos are a joke about his penis.......,joy
That is definitely an unpopular opinion. Upvoted.,anger
"Maybe I’m out of touch, but I see 22-14-6 and think that is typically a playoff caliber record.",joy
oh [NAME] what did i do,surprise
I like putting myself in the girl's shoes so I love romances.,joy
"Yeah, he's 8-1 in his last 9 games played. Pretty great if you ask me.",joy
I'm too stupid to understand what you're saying,anger
Because people hate freedom,anger
you can use your inhuman orang-utan strength to tear them from limb to lim thats an option,joy
"Oh yeah, thanks!",joy
"Oh, I'm dying to know if you noticed any reaction from him!",surprise
Ur mom causes a 2.6 just getting out of bed in the morning amirite?,surprise
My nuts hurt watching that second part,sadness
"I forgot context and thought you meant the band was republican, please don’t worry me like this again ",sadness
Love the way his body just folds after the final smack on his head *oof*,joy
"Losing my Origin account? Oh no, how else will I play thousands of other non-shitty EA games now?",sadness
"Thank you much! At least it's just hair, it'll be back",joy
I do. That thing about your mom is weird. Go get help.,joy
Thank you [NAME].,joy
"""I saw these in a cart and I was so confused why the tennis balls were so small...then I noticed the word """"gum"""".""",surprise
The one with the hot honey is also fantastic. Touch of heat and just a hint of sweet. Good food.,joy
My comment provided shame. I am nothing.,sadness
you're welcome!,joy
Sweet! This just keeps getting better. Have a good one,joy
"No he was given a bad team to work with unfortunately, and never got the final shot he deserved :(",sadness
"Lots of hugs, kiddo ! They ***are*** heifers !",joy
Nice! You and her would get along i bet. She loves her crafty machines and creative people. 😇,joy
What a joke,joy
He’s one of America’s greatest songwriters.,joy
I liked the charlie one more.,joy
Love mine too. t-shirt,joy
I do this when rolling haha,joy
This!!!! Just. THISSSS.,anger
"You guys are heartless, smfh.",anger
Wish I had the confidence of [NAME],joy
Try Rescue Melatonin Strawberry gummies and Natural Calm in hot water. They saved my life.,joy
I actually want to die rn. I don't want to watch the SB but I know I'm going to.,sadness
we legally can't do that now mr. [NAME],anger
True but also it's not a dilemma ; if they try something like Tiananmen they will likely die. So not very tempting to try to change things.,anger
This isn't really wholesome,anger
I wouldn't count out Scotland in the quarters. They're playing well and have given the US headaches in the past.,joy
"As a fellow browns fan, unfortunate enough to be born into a browns family and in ohio... Hello sharer of a lifetime of heartbreak.",sadness
LOL [NAME] you're too loveable for that. ♡,joy
[NAME] way of doing things is straight trash for [NAME] lol. The latter end of the competition being bottom is a default sometimes.,joy
"Yes!! Im always horny when I am with my BF, but right around ovulation, I am super horny!",joy
She is my friend,joy
"If you’re talking about 玛雅, I checked and they’re permanently closed. It’s a shame since the location would have been perfect.",sadness
I’m from Ocean County and I don’t enjoy admitting you’re right.,anger
"Bold of you to assume just about everyone here wouldn't do this for you, you absolute gem",joy
Thanks - Glad I did not waste the money / gold,joy
[NAME] has never said he wanted to build the team around [NAME]. Not sure why people are spreading this rumour.,surprise
Only 5 more years to go. Can’t wait!,surprise
"Picturing you sneezing and banging your head made me laugh so hard! THAT'S WHAT YOU GET! Now, pipe down.",joy
"Lol, no.",joy
"im glad to hear that i won't just be carted off! and thanks, it's great to know that you guys have my back :)",joy
"I guess that depends on the department. If you've racked up a ton of vacay time, it's possible for some cops to smoke weed lol.",joy
I’m wondering the same; something seems weird about that interpretation of the law,surprise
"You could weigh even more than 152 at 10% 6 ft tall! But yes, that is the goal physique for many gym rats. ",joy
[NAME] face looks like some actress/model who I can picture in my head but I cant remember her name,joy
I have this shirt I love it with a burning passion,joy
"Haha, then i am in... :)",joy
"Ah, see that makes ALOT more sense to me, and how I believed prayer works. Thanks for that",joy
"I’m actually not! From USA, sadly. 🙃 Edited to add: unless you didn’t mean me, then I apologize! ",sadness
"Yep, just PC this time, sorry",sadness
She doesnt mind! I'm her favorite person!,joy
Oh god no!!! I was gonna get some shipped out to save you some money. Never mind.,surprise
£10 for copy pasting a wall of text from /r/gamerghazi? Why would I want to do that.,anger
"Thanks! Been clipping her for awhile now, I think I’m going to stick with her ",joy
I dont think anyone liked 6A apart from the two Slade episodes and the crossover. Most people here consider it to be sloppy,anger
at sunset i want to bang my wife there on the rock,joy
Awesome job!!,joy
"5% more people identifying as liberal than conservative, 4.3% more people supporting the tax rates. [NAME] activated",joy
Nicely framed.,joy
The great nation of Texas (excluding Austin) will rise up and purge these heretics.,joy
Inkling main: I like being cheap. It makes me happy.,joy
Eastern European here. Very cool! We’re really all the same.,joy
So $0.50 for that GIF? I think I'll pass.,joy
Thankkks and np,joy
I will check him out thank you :),joy
Was expecting a horrifically broken ankle. You have posted the actually unexpected,surprise
That was never in discussion all Miami wanted was to get rid off the whole contract.,anger
Good minutes from bayless,joy
I feel like you and i share a mind. I appreciate your creativity!,joy
Does anybody ever tell you guys that you're doing a good job? Because they should. You're doing a good job.,joy
"Luckily I never got sucked into Overwatch, because I know if I had I would definitely have an unhealthy amount of playtime racked up. ",joy
Bunch of incels,anger
You’re not being used but she has no right to tell you what to do with your money.,anger
Same! Protect yourself as much as you can. I also clean the phone and the case :D,joy
"Gonna use this on my kids tomorrow, thanks kindly",joy
You've been checking in on all us 3.8 billion females? That's impressive.,joy
Damn... That means a lot. Thank you!,joy
"""""""PETA approved"""" I'm out. I hate PETA even more than I hate mlms""",anger
This video is funny but every time I watch it I get so mad at the guys filming and their belittling comments!,joy
Thank you! I will!,joy
this is just brother and sister but with extra steps,joy
Butterfly is cute... it’s the dreds that are gross,joy
"Oh [NAME], oh no, no no no",surprise
Cool. Would be happy to know if this worked out for you. I had wasted a bunch of time like you did and was getting frustrated.,sadness
Thank you! :),joy
This looks amazing. I'm sure Netflix will cancel the series in February.,joy
"hey, that's me. Glad i'm done with the class, so much work",joy
"Yeah, you're getting points. Bring your insurance documents as well just to save yourself the trip back. They will ask for them.",joy
Best decision of your life.,joy
Wishing the best for your pupper.,joy
"He’s had big games for us before, it’s just his lack of consistency and effort ",sadness
Unfortunately not. 😏,sadness
Thank you for explaining it better than my rambling. I agree.,joy
How about as a whole we just hate snow,anger
Not surprised...he has ZERO interest in finding a job and living like a responsible adult...,anger
Calling a 40k salary a humblebrag is still pretty funny in a self-deprecating way.,joy
But I love solids,joy
The ochils are the only plus side to living in Clackmannanshire. Plus easy travel to anywhere in scotland,joy
That’s a wonderful meaningless word salad,joy
Very true. Having a 3rd pair of [NAME] and [NAME] has been solid,joy
That's some good stuff! What did you think about [NAME]?,surprise
"No, you're stupid. Pronoun confusion is a side effect.",surprise
Sorry for the bad formatting,sadness
"Hears hoping, best of luck",joy
Those other countries clearly exploited to shit? Dats cuz it's not mah [NAME]. -You with your big brain logic.,anger
"I feel bad for them now, but if they ever get good I’ll hate them like the rest. ",sadness
This game and it’s updates can be very frustrating sometimes. We already discuss the issues to death but meme Monday has been oddly therapeutic,anger
[NAME] is garbage in every single game he plays. He needs to be traded,sadness
"Can confirm, girl asked my out on a second date and my comfort levels and confidence sky rocketed",joy
you'd have to help them get past [NAME] extremely tough immigration process,joy
"Way to cherry pick. Remember that time that [NAME] person got lit up for like, 9 goals against or something? Man, that guy sure sucked.",anger
You're not a good person if you make the person that just let you inside their body feel bad and disrespected.,anger
this literally made me sick to my stomach,sadness
Mugging is just how we show love around here. Respect our culture.,joy
"Nope, you weren't in the wrong at all.",joy
Hey thanks!,joy
can I use I can't believe it's not butter because my boyfie doesn't make over 20k :(,sadness
"Oy vey, [NAME] 🗑 is gonna be *pissed*!!!",anger
had to google mesosphere. good job.,joy
"Definitely was a nonononoyes for me there lol, I'm a horrible person",joy
I’m the most surprised that [NAME] is 35. Seems like just yesterday he was plotting with [NAME] on how to get booze for the party,surprise
He showed how easy it is to get into a team and gain fame.,joy
Bingo - using market cap as your yardstick is as stupid as using GDP as a yardstick. One metric is never enough to capture a picture.,anger
You might have better luck,joy
I thought I was the only woman who felt this way. I'm glad I'm not alone.,joy
Thanks for this. I appreciate everyone involved.,joy
lol..You're not getting [NAME] or any of the young core..,joy
thank you so much please subscribe,joy
That's cute love it!,joy
Wow dan I like being up at 4am....,joy
"He's the only dignified politician, but it's still bizarre that people can be so enamoured of a literal [NAME]",joy
LMFAOOOOO that’s when family guy was still funny,joy
I'd love it if we actually rotated instead of running players into the ground.,joy
"Additionally, over the years I developed ED and PE... and it sucks. Just thought I would put that out there.",surprise
How do you know they are [NAME]? Where they caught? Maybe a cat? It's just some crazy person?,surprise
Gotta love Texas high school football for exposing me early.,joy
I like the game tonight,joy
I'm so happy this whole group of lines was poster. It made my day...,joy
You really really summed that up. Perfectly actually.,joy
"Agreed, if you think about the animals it's sad. If you think about zerocarbers' blood profiles it gets amusing.",joy
"Search results are indeed based on personal search history. The first result I get searching Canadian Soldiers is [NAME], haha",joy
Wow dude get a life and stop digging through my comments trying to pick a fight like a belligerent moron.,anger
"No problem at all, glad I could help :) Cheers!",joy
"Yup, Telltale was good. Until 2016.",joy
Weird how he doesn't have to say the word review in order to spend the entire article reviewing,sadness
"""""""So, I was grading your work and someone spilled coffee on them. Sorry for the mess.""""""",sadness
"Yeah, the only issue with the scene is how long the dance scene goes. ",anger
"I feel like [NAME] was impossibly bad enough to warrant memes about him. [NAME] is just bad, boring, and too invisible to really hate.",anger
Ah got it. Marked it sorry!,joy
"Oh no, my secret identity as a neurosurgeon/entomologist/radiologist/anesthetist/dentist has been discovered! I knew I should have given less detailed medical advice online! D: ",surprise
"You're fighting the good fight here. If you still want blackberries on your property, you can always try growing our native one, *Rubus ursinus*.",joy
You will also be removed from a jury if you utter anything about it.,anger
His estate still have property in places like ireland. To this he has grounds rent paid to him,joy
Oh good lord what did I create,surprise
Wait until you’re at least 25 to get a tattoo. You’ll more than likely regret it otherwise.,sadness
It's showtime!!,joy
"I really like this OP, going to start doing something similar - thank you! ",joy
I love that fray. I wonder how he got it.,joy
Ty. I confessed and they are being very nice to me. My kids are safe and me going to therapy is a plus now.,joy
